Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2020,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,95
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),25.3
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,60
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),35.3
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,25
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),23.8
2015,Otonabee-South Monaghan,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,170
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),4.9
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,55
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),8.6
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,55
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),13.6
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,65
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),5.8
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,25
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),3.7
2020,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,250
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),7.7
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,55
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),10.6
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,50
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),15.6
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,95
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),8.3
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,65
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),10.3
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,30
2015,Otonabee-South Monaghan,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),4.3
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,Total - Age,In poverty,145
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),4.6
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,0 to 17 years,In poverty,55
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),8.6
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,6 to 17 years,In poverty,55
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),13.6
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,25 to 54 years,In poverty,55
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),5.2
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,55 to 64 years,In poverty,25
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),4.2
2020,Otonabee-South Monaghan,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,Total - Age,In poverty,205
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),6.9
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,0 to 17 years,In poverty,55
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),10.6
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,6 to 17 years,In poverty,50
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),15.6
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,25 to 54 years,In poverty,75
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),6.9
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,55 to 64 years,In poverty,40
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),7.1
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,65 years and over,In poverty,25
2015,Otonabee-South Monaghan,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),4.5
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,20
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),6.8
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2020,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,45
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),16.7
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,20
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),33.3
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,20
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),30.8
2015,Otonabee-South Monaghan,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2020,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2015,Hiawatha First Nation,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2020,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0
2015,Hiawatha First Nation,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,165
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),3.4
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,30
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),2.6
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,25
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),3.4
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,35
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),2
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,70
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),8.5
2020,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,320
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),7.4
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,100
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),11.3
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,80
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),12.9
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,25
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),6.7
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,85
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),5.5
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,85
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),11.3
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,30
2015,Cavan Monaghan,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),3.9
2020,Cavan Monaghan,Men+,Total - Persons in economic families,Total - Age,In poverty,100
2020,Cavan Monaghan,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),2.2
2020,Cavan Monaghan,Men+,Total - Persons in economic families,0 to 17 years,In poverty,30
2020,Cavan Monaghan,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),2.6
2020,Cavan Monaghan,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Persons in economic families,6 to 17 years,In poverty,25
2020,Cavan Monaghan,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),3.4
2020,Cavan Monaghan,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Persons in economic families,25 to 54 years,In poverty,20
2020,Cavan Monaghan,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),1.3
2020,Cavan Monaghan,Men+,Total - Persons in economic families,55 to 64 years,In poverty,35
2020,Cavan Monaghan,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),4.9
2020,Cavan Monaghan,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Persons in economic families,Total - Age,In poverty,230
2015,Cavan Monaghan,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),5.8
2015,Cavan Monaghan,Men+,Total - Persons in economic families,0 to 17 years,In poverty,100
2015,Cavan Monaghan,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),11.3
2015,Cavan Monaghan,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Persons in economic families,6 to 17 years,In poverty,80
2015,Cavan Monaghan,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),12.9
2015,Cavan Monaghan,Men+,Total - Persons in economic families,18 to 24 years,In poverty,20
2015,Cavan Monaghan,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),5.9
2015,Cavan Monaghan,Men+,Total - Persons in economic families,25 to 54 years,In poverty,45
2015,Cavan Monaghan,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),3.2
2015,Cavan Monaghan,Men+,Total - Persons in economic families,55 to 64 years,In poverty,50
2015,Cavan Monaghan,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),7.7
2015,Cavan Monaghan,Men+,Total - Persons in economic families,65 years and over,In poverty,15
2015,Cavan Monaghan,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),2.2
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,70
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),19.2
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,20
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),14.8
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,30
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),27.3
2020,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,90
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),23.1
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,45
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),27.3
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,35
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),35
2015,Cavan Monaghan,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,180
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),3.7
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,30
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),3
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,30
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),4.2
